,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,23950,"Aberg, Ludvig",0,The American Express,,,1,52955,1,1,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,19846,"Bauchou, Zach",0,The American Express,,,,48001,1,1,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,17606,"Berger, Daniel",0,The American Express,,,1,40026,1,10,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,18103,"Bezuidenhout, Christiaan",0,The American Express,,,,45522,1,10,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,0
,26096,"Bhatia, Akshay",0,The American Express,,,,56630,1,1,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,24956,"Blanchet, Chandler",0,The American Express,,,,54788,1,10,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,12333,"Block, Michael",0,The American Express,,,1,22764,1,10,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,0
,29197,"Brennan, Michael",0,The American Express,,,1,61522,1,1,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,0
,29433,"Bridgeman, Jacob",0,The American Express,,,,60004,1,1,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,32152,"Brown, Blades",0,The American Express,,,,66417,1,1,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,0
,20766,"Brown, Dan",0,The American Express,,,,57259,1,1,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,19483,"Burns, Sam",0,The American Express,,,,47504,1,1,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,18628,"Campbell, Brian",0,The American Express,,,,46443,1,10,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,12909,"Campos, Rafael",0,The American Express,,,1,32070,1,10,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,0
,15466,"Cantlay, Patrick",0,The American Express,,,,35450,1,10,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,21412,"Capan III, Frankie",0,The American Express,,,1,49590,1,10,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,0
,27819,"Castillo, Ricky",0,The American Express,,,,59440,1,10,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,14502,"Cauley, Bud",0,The American Express,,,1,34021,1,1,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,0
,30620,"Chatfield, Davis",0,The American Express,,,,59006,1,10,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,32330,"Clanton, Luke",0,The American Express,,,,66743,1,1,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,23604,"Clark, Wyndham",0,The American Express,,,,51766,1,10,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,21756,"Cole, Eric",0,The American Express,,,,47591,1,10,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,28309,"Coody, Pierceson",0,The American Express,,,1,59836,1,1,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,0
,14509,"Dahmen, Joel",0,The American Express,,,,34076,1,10,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,17786,"Davis, Cam",0,The American Express,,,1,45157,1,10,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,0
,9771,"Day, Jason",0,The American Express,,,,28089,1,1,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,0
,16757,"Dou, Zecheng",0,The American Express,,,1,37338,1,10,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,0
,7301,"Dufner, Jason",0,The American Express,,,,25686,1,10,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,0
,22002,"Dumont De Chassart, Adrien",0,The American Express,,,,50497,1,1,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,28270,"Dunlap, Nick",0,The American Express,,,,59866,1,1,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,22833,"Echavarria, Nico",0,The American Express,,,,51349,1,1,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,26653,"Eckroat, Austin",0,The American Express,,,,57362,1,1,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,0
,14577,"English, Harris",0,The American Express,,,1,34099,1,1,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,21883,"Ewart, A.J.",0,The American Express,,,,50286,1,1,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,11676,"Finau, Tony",0,The American Express,,,1,29725,1,1,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,0
,25094,"Fishburn, Patrick",0,The American Express,,,1,54576,1,10,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,0
,26657,"Fisk, Steven",0,The American Express,,,,57123,1,1,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,17646,"Fitzpatrick, Matt",0,The American Express,,,,40098,1,10,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,0
,31343,"Ford, David",0,The American Express,,,,65256,1,1,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,0
,12965,"Fowler, Rickie",0,The American Express,,,,32102,1,1,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,11451,"Garnett, Brice",0,The American Express,,,,29535,1,10,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,29767,"Gerard, Ryan",0,The American Express,,,,59018,1,10,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,24550,"Ghim, Doug",0,The American Express,,,1,52375,1,1,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,0
,28016,"Gonzalez, Emilio",0,The American Express,,,1,59567,1,1,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,0
,23465,"Greyserman, Max",0,The American Express,,,1,51977,1,1,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,0
,24968,"Griffin, Ben",0,The American Express,,,,54591,1,10,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,15330,"Griffin, Lanto",0,The American Express,,,1,35310,1,10,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,0
,12808,"Grillo, Emiliano",0,The American Express,,,1,31646,1,1,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,27194,"Hall, Harry",0,The American Express,,,,57975,1,10,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,8825,"Harman, Brian",0,The American Express,,,,27644,1,1,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,14578,"Henley, Russell",0,The American Express,,,,34098,1,1,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,14140,"Higgs, Harry",0,The American Express,,,,33597,1,1,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,28469,"Highsmith, Joe",0,The American Express,,,1,60067,1,1,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,20954,"Hirata, Kensei",0,The American Express,,,1,49120,1,10,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,0
,22760,"Hisatsune, Ryo",0,The American Express,,,1,51287,1,10,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,0
,25157,"Hodges, Lee",0,The American Express,,,1,54628,1,10,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,23504,"Hoey, Rico",0,The American Express,,,1,51696,1,10,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,0
,5768,"Hoffman, Charley",0,The American Express,,,,12716,1,1,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,0
,15575,"Hoge, Tom",0,The American Express,,,,35532,1,10,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,23838,"Hojgaard, Rasmus",0,The American Express,,,,52686,1,10,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,0
,17538,"Homa, Max",0,The American Express,,,,39977,1,1,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,11276,"Horschel, Billy",0,The American Express,,,1,29420,1,10,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,15470,"Hossler, Beau",0,The American Express,,,,35461,1,10,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,16333,"Hubbard, Mark",0,The American Express,,,1,36801,1,10,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,0
,15556,"Hughes, Mackenzie",0,The American Express,,,1,35506,1,1,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,16394,"Jaeger, Stephan",0,The American Express,,,,36799,1,10,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,6986,"Johnson, Zach",0,The American Express,,,,24024,1,1,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,0
,19729,"Kanaya, Takumi",0,The American Express,,,1,47917,1,1,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,0
,21889,"Kang, Jeffrey",0,The American Express,,,1,47393,1,1,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,0
,32457,"Keefer, Johnny",0,The American Express,,,1,63454,1,10,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,0
,15004,"Kim, Chan",0,The American Express,,,1,34587,1,10,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,0
,17543,"Kim, Michael",0,The American Express,,,,39975,1,1,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,0
,21688,"Kim, S.H.",0,The American Express,,,1,50188,1,10,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,1899-12-30 0:00
,14609,"Kim, Si Woo",0,The American Express,,,1,37455,1,10,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,24766,"Kim, Tom",0,The American Express,,,1,55182,1,10,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,1899-12-30 0:00
,12423,"Kirk, Chris",0,The American Express,,,,30926,1,1,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,1899-12-30 0:00
,21891,"Kitayama, Kurt",0,The American Express,,,1,48117,1,10,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,13470,"Kizzire, Patton",0,The American Express,,,,32757,1,10,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,6169,"Kuchar, Matt",0,The American Express,,,,23108,1,1,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,24343,"Lamprecht, Christo",0,The American Express,,,1,54422,1,1,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,1899-12-30 0:00
,14000,"Landry, Andrew",0,The American Express,,,,33410,1,1,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,21943,"Lebioda, Hank",0,The American Express,,,,49766,1,1,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,1899-12-30 0:00
,16841,"Lee, Min Woo",0,The American Express,,,1,37378,1,10,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,1899-12-30 0:00
,16162,"Lee, S.T.",0,The American Express,,,,36529,1,10,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,1899-12-30 0:00
,15310,"Li, Haotong",0,The American Express,,,1,35296,1,1,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,1899-12-30 0:00
,15980,"Lipsky, David",0,The American Express,,,1,36326,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,15473,"Long, Adam",0,The American Express,,,1,35449,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,17723,"Lower, Justin",0,The American Express,,,,40162,1,10,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,1899-12-30 0:00
,23323,"MacIntyre, Robert",0,The American Express,,,,52215,1,10,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,1899-12-30 0:00
,14926,"Malnati, Peter",0,The American Express,,,,34466,1,10,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,1899-12-30 0:00
,19870,"McCarthy, Denny",0,The American Express,,,,47993,1,1,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,1899-12-30 0:00
,28635,"McCarty, Matt",0,The American Express,,,,59141,1,10,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,23505,"McGreevy, Max",0,The American Express,,,,51950,1,10,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,28159,"Meissner, Mac",0,The American Express,,,1,59143,1,10,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,1899-12-30 0:00
,17365,"Mitchell, Keith",0,The American Express,,,,39546,1,1,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,21944,"Moore, Taylor",0,The American Express,,,1,49947,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,29770,"Mouw, William",0,The American Express,,,,63121,1,10,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,21074,"Nakajima, Keita",0,The American Express,,,,49228,1,1,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,1899-12-30 0:00
,10419,"Noren, Alex",0,The American Express,,,,27349,1,1,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,23475,"Novak, Andrew",0,The American Express,,,1,51997,1,10,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,25475,"Nyholm, Pontus",0,The American Express,,,1,55851,1,1,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,1899-12-30 0:00
,13764,"Parry, John",0,The American Express,,,1,28723,1,10,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,1899-12-30 0:00
,19960,"Pavon, Matthieu",0,The American Express,,,1,48153,1,1,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,17780,"Pendrith, Taylor",0,The American Express,,,,40250,1,10,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,1899-12-30 0:00
,27164,"Phillips, Chandler",0,The American Express,,,,57900,1,1,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,21554,"Poston, J.T.",0,The American Express,,,1,49771,1,10,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,27900,"Potgieter, Aldrich",0,The American Express,,,1,63343,1,1,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,1899-12-30 0:00
,10104,"Power, Seamus",0,The American Express,,,1,28252,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,14704,"Putnam, Andrew",0,The American Express,,,,34256,1,10,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,19840,"Ramey, Chad",0,The American Express,,,,47983,1,1,2026-01-22 9:36,2026-01-23 9:03,2026-01-24 8:30,,1899-12-30 0:00
,19872,"Riley, Davis",0,The American Express,,,1,47995,1,10,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,16283,"Rodgers, Patrick",0,The American Express,,,1,36699,1,1,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,1899-12-30 0:00
,6093,"Rose, Justin",0,The American Express,,,1,22405,1,1,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,18424,"Roy, Kevin",0,The American Express,,,1,39335,1,10,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,1899-12-30 0:00
,16591,"Rozo, Marcelo",0,The American Express,,,1,37076,1,1,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,1899-12-30 0:00
,16715,"Ryder, Sam",0,The American Express,,,,37275,1,10,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,1899-12-30 0:00
,14792,"Saddier, Adrien",0,The American Express,,,,34371,1,10,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,1899-12-30 0:00
,27183,"Salinda, Isaiah",0,The American Express,,,1,56781,1,10,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,1899-12-30 0:00
,30814,"Sargent, Gordon",0,The American Express,,,,64442,1,10,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,1899-12-30 0:00
,18417,"Scheffler, Scottie",0,The American Express,,,1,46046,1,1,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,1899-12-30 0:00
,19477,"Schenk, Adam",0,The American Express,,,,47347,1,1,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,20722,"Schmid, Matti",0,The American Express,,,1,48867,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,6430,"Scott, Adam",0,The American Express,,,,24502,1,10,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,1899-12-30 0:00
,32055,"Shipley, Neal",0,The American Express,,,,63807,1,1,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,1899-12-30 0:00
,18474,"Smalley, Alex",0,The American Express,,,,46340,1,10,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,18586,"Smith, Jordan",0,The American Express,,,1,46464,1,1,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,1899-12-30 0:00
,22985,"Smotherman, Austin",0,The American Express,,,,50095,1,1,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,1899-12-30 0:00
,8820,"Snedeker, Brandt",0,The American Express,,,,27649,1,1,2026-01-22 10:20,2026-01-23 9:47,2026-01-24 9:14,,1899-12-30 0:00
,23048,"Stanger, Jimmy",0,The American Express,,,,51600,1,10,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,1899-12-30 0:00
,25569,"Stevens, Sam",0,The American Express,,,1,55893,1,1,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,1899-12-30 0:00
,17511,"Straka, Sepp",0,The American Express,,,,49960,1,1,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,1899-12-30 0:00
,8480,"Streelman, Kevin",0,The American Express,,,1,27214,1,1,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,1899-12-30 0:00
,29279,"Suber, Jackson",0,The American Express,,,1,60019,1,10,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,0
,13997,"Svensson, Adam",0,The American Express,,,,40115,1,10,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,0
,26850,"Svensson, Jesper",0,The American Express,,,1,57586,1,10,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,0
,13126,"Taylor, Nick",0,The American Express,,,,25493,1,10,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,23014,"Theegala, Sahith",0,The American Express,,,1,51634,1,1,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,0
,27364,"Thompson, Davis",0,The American Express,,,1,58168,1,1,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,0
,26649,"Thorbjornsen, Michael",0,The American Express,,,1,57364,1,10,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,0
,17032,"Tosti, Alejandro",0,The American Express,,,1,38991,1,1,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,0
,23816,"Valimaki, Sami",0,The American Express,,,1,52666,1,1,2026-01-22 9:14,2026-01-23 8:41,2026-01-24 10:31,,0
,17550,"Van Rooyen, Erik",0,The American Express,,,1,40006,1,10,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,0
,25319,"VanDerLaan, John",0,The American Express,,,1,55573,1,10,2026-01-22 8:52,2026-01-23 10:42,2026-01-24 10:09,,0
,13508,"Vegas, Jhonattan",0,The American Express,,,,27064,1,1,2026-01-22 10:31,2026-01-23 9:58,2026-01-24 9:25,,0
,15651,"Ventura, Kris",0,The American Express,,,,35658,1,10,2026-01-22 10:42,2026-01-23 10:09,2026-01-24 9:36,,0
,24304,"Vilips, Karl",0,The American Express,,,,54304,1,10,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,9171,"Villegas, Camilo",0,The American Express,,,,27770,1,1,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,0
,25003,"Walker, Danny",0,The American Express,,,,54607,1,10,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,0
,20706,"Wallace, Matt",0,The American Express,,,1,48887,1,10,2026-01-22 9:03,2026-01-23 8:30,2026-01-24 10:20,,0
,25908,"Whaley, Vince",0,The American Express,,,1,51894,1,10,2026-01-22 8:30,2026-01-23 10:20,2026-01-24 9:47,,0
,12577,"Woodland, Gary",0,The American Express,,,,31323,1,1,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,25002,"Wu, Dylan",0,The American Express,,,,54783,1,1,2026-01-22 9:58,2026-01-23 9:25,2026-01-24 8:52,,0
,29925,"Yellamaraju, Sudarshan",0,The American Express,,,1,60386,1,1,2026-01-22 9:25,2026-01-23 8:52,2026-01-24 10:42,,0
,23656,"Young, Carson",0,The American Express,,,,52513,1,10,2026-01-22 10:09,2026-01-23 9:36,2026-01-24 9:03,,0
,17881,"Yu, Kevin",0,The American Express,,,,45242,1,10,2026-01-22 9:47,2026-01-23 9:14,2026-01-24 8:41,,0
,19428,"Zalatoris, Will",0,The American Express,,,1,47483,1,10,2026-01-22 8:41,2026-01-23 10:31,2026-01-24 9:58,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0